"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)"
0,-3.66516113281,-1.30157470703
0.05,-3.50589752197,-1.44901275635
0.1,-3.34644317627,-1.61437988281
0.15,-3.19309234619,-1.76181793213
0.2,-3.04889678955,-1.92432403564
0.25,-2.91347503662,-2.05364227295
0.3,-2.79026031494,-2.17094421387
0.35,-2.66990661621,-2.3063659668
0.4,-2.54058837891,-2.42671966553
0.45,-2.4263381958,-2.54096984863
0.5,-2.33020782471,-2.63729095459
0.55,-2.21900939941,-2.74868011475
0.6,-2.12268829346,-2.83889770508
0.65,-2.03857421875,-2.93521881104
0.7,-1.93920135498,-3.02238464355
0.75,-1.85203552246,-3.1156539917
0.8,-1.76792144775,-3.18794250488
0.85,-1.69868469238,-3.26919555664
0.9,-1.62048339844,-3.34129333496
0.95,-1.54838562012,-3.42254638672
1,-1.4762878418,-3.47671508789
1.05,-1.41315460205,-3.55186462402
1.1,-1.3500213623,-3.60298156738
1.15,-1.28974914551,-3.66916656494
1.2,-1.24168395996,-3.71742248535
1.25,-1.18465423584,-3.77159118652
1.3,-1.13353729248,-3.83167266846
1.35,-1.08833312988,-3.87992858887
1.4,-1.03721618652,-3.92799377441
1.45,-0.992202758789,-3.97911071777
1.5,-0.950050354004,-4.01229858398
1.55,-0.914001464844,-4.05426025391
1.6,-0.865745544434,-4.09049987793
1.65,-0.832748413086,-4.13265228271
1.7,-0.790596008301,-4.16259765625
1.75,-0.760650634766,-4.20780181885
1.8,-0.727462768555,-4.23488616943
1.85,-0.700378417969,-4.27093505859
1.9,-0.670433044434,-4.29496765137
1.95,-0.637245178223,-4.32205200195
2,-0.622367858887,-4.34913635254
2.05,-0.595283508301,-4.37622070312
2.1,-0.559043884277,-4.39739227295
2.15,-0.538063049316,-4.42733764648
2.2,-0.514030456543,-4.43935394287
2.25,-0.493049621582,-4.46357727051
2.3,-0.471878051758,-4.48455810547
2.35,-0.450897216797,-4.51469421387
2.4,-0.429916381836,-4.52365875244
2.45,-0.414848327637,-4.54769134521
2.5,-0.393676757812,-4.5597076416
2.55,-0.387763977051,-4.58087921143
2.6,-0.36678314209,-4.59289550781
2.65,-0.35457611084,-4.60796356201
2.7,-0.339698791504,-4.62303161621
2.75,-0.330543518066,-4.64706420898
2.8,-0.306510925293,-4.65297698975
2.85,-0.294494628906,-4.66213226318
2.9,-0.28247833252,-4.67109680176
2.95,-0.279426574707,-4.68616485596
3,-0.270462036133,-4.69818115234
3.05,-0.249481201172,-4.70428466797
3.1,-0.237464904785,-4.71630096436
3.15,-0.228309631348,-4.72831726074
3.2,-0.222396850586,-4.73728179932
3.25,-0.210380554199,-4.74338531494
3.3,-0.201225280762,-4.75234985352
3.35,-0.192260742188,-4.76131439209
3.4,-0.186347961426,-4.77333068848
3.45,-0.180244445801,-4.78534698486
3.5,-0.171279907227,-4.78839874268
3.55,-0.165176391602,-4.81243133545
3.6,-0.15926361084,-4.8095703125
3.65,-0.153160095215,-4.81243133545
3.7,-0.150108337402,-4.81243133545
3.75,-0.150108337402,-4.81548309326
3.8,-0.141143798828,-4.82444763184
3.85,-0.135231018066,-4.82444763184
3.9,-0.126075744629,-4.83665466309
3.95,-0.12321472168,-4.84256744385
4,-0.117111206055,-4.84561920166
4.05,-0.114059448242,-4.85763549805
4.1,-0.10814666748,-4.84561920166
4.15,-0.10814666748,-4.84867095947
4.2,-0.10814666748,-4.84867095947
4.25,-0.098991394043,-4.85763549805
4.3,-0.10814666748,-4.86068725586
4.35,-0.098991394043,-4.86373901367
4.4,-0.0900268554688,-4.86965179443
4.45,-0.0869750976562,-4.86965179443
4.5,-0.084114074707,-4.86965179443
4.55,-0.078010559082,-4.88166809082
4.6,-0.078010559082,-4.88471984863
4.65,-0.0720977783203,-4.88471984863
4.7,-0.0749588012695,-4.89063262939
4.75,-0.0690460205078,-4.89368438721
4.8,-0.0659942626953,-4.89063262939
4.85,-0.0659942626953,-4.89673614502
4.9,-0.0690460205078,-4.89978790283
4.95,-0.0720977783203,-4.90283966064
5,-0.0600814819336,-4.90875244141
5.05,-0.0570297241211,-4.90570068359
5.1,-0.0539779663086,-4.90570068359
5.15,-0.0539779663086,-4.90570068359
5.2,-0.0539779663086,-4.91180419922
5.25,-0.0509262084961,-4.91771697998
5.3,-0.0478744506836,-4.90570068359
5.35,-0.0450134277344,-4.90570068359
5.4,-0.0509262084961,-4.91180419922
5.45,-0.0478744506836,-4.91771697998
